,Title,Year,in_criterion
771,Just Neighbors,1919,False
772,Kabala,2002,False
773,Kaiju Bunraku,2017,False
774,Kaisha Monogatari: Memories of You,1988,False
775,Kanal,1957,True
776,Kaos,1984,False
777,Kapo,1959,False
778,Karen Cries on the Bus,2011,False
779,Katzelmacher,1969,True
780,Keep Your Powder Dry,1945,False
781,Keeper of the Flame,1943,False
782,Key Largo,1948,False
783,Kidnapped,1948,False
784,Kill!,1968,True
785,Killers On Parade,1961,False
786,King Kong,1933,False
787,King Solomon's Mines,1937,False
788,Kings of the Road,1976,True
789,Kitty,2016,False
790,Knife in the Water,1962,True
791,Knight Without Armour,1937,False
792,Koko Sees Spooks,1925,False
793,Koko: A Talking Gorilla,1978,True
794,Kramer vs. Kramer,1979,False
795,Kuroneko,1968,True
796,Kwaidan,1965,True
797,L'amore,1948,False
798,L'argent,1983,False
799,L'assassin Habite Au 21,1942,False
800,L'Atalante,1934,False
801,L'Avventura,1960,False
802,L'Eclisse,1962,False
803,L'enfance nue,1968,False
804,L'opéra-mouffe,1958,False
805,L.A. Woman,1987,False
806,La Balance,1982,False
807,La Boutique,1967,False
808,La Bête Humaine,1938,False
809,La Cambrure,1999,False
810,La Chambre,1972,False
811,La Chasse au Lion a l'arc,1965,False
812,La Chienne,1931,False
813,La Ciénaga,2001,True
814,La Collectionneuse,1967,False
815,La Commare Secca,1962,False
816,La Cérémonie,1995,False
817,La Grande Vadrouille,1966,False
818,La Haine,1995,False
819,La Jetée,1963,True
820,La Main du Diable,1943,False
821,La notte,1961,True
822,La Nuit de la Verite,2004,False
823,La Nuit de Varennes,1982,False
824,La Pointe Courte,1955,True
825,La Poison,1951,False
826,La Promesse,1996,False
827,La Punition,1962,False
828,La ronde,1950,True
829,La Strada,1954,False
830,La Terra Trema,1948,False
831,La Tete d'un Homme,1933,False
832,La Truite,1982,False
833,La Vie de Bohème,1992,False
834,"Lacombe, Lucien",1974,True
835,Lady Snowblood,1973,True
836,Lady Snowblood 2: Love Song of Vengeance,1974,False
837,Land of Milk and Honey,1971,True
838,Late Autumn,1960,True
839,Late Chrysanthemums,1954,False
840,Late Spring,1949,True
841,"Laugh, Clown, Laugh",1928,False
842,Law of the Border,1966,True
843,Le Amiche,1955,False
844,Le Beau Serge,1958,False
845,Le Bonheur,1965,False
846,Le Cercle Rouge,1970,False
847,Le Chant du Styrène,1959,False
848,Le ciel est à vous,1944,True
849,Le Deuxième Souffle,1966,False
850,Le grand amour,1969,True
851,Le Havre,2011,True
852,Le Magnifique,1973,False
853,Le Million,1931,False
854,Le notti bianche,1957,True
855,Le Petit Soldat,1963,False
856,Le Plaisir,1952,False
857,Le Samouraï,1967,False
858,Le Silence de la Mer,1949,False
859,Lemon,1969,False
860,Leningrad Cowboys Go America,1989,True
861,Leningrad Cowboys Meet Moses,1994,True
862,Les Cousins,1959,False
863,Les Dames Du Bois De Boulogne,1945,False
864,Les Enfants Terribles,1950,False
865,Les fiancés du pont Mac Donald ou (Méfiez-vous des lunettes...,1961,False
866,Les Girls,1957,False
867,Les Grandes Manoeuvres,1955,False
868,Les maîtres fous,1955,False
869,Les Mistons,1957,False
870,Les Misérables - Part 1: Tempest in a Skull,1934,False
871,Les Misérables - Part 2: The Thénardiers,1934,False
872,"Les Misérables - Part 3: Liberty, Sweet Liberty",1934,False
873,Les Portes de la nuit,1946,False
874,Les rendez-vous d’Anna,1978,True
875,Les Visiteurs du Soir,1942,False
876,Let There Be Light,1946,False
877,Let's Spend the Night Together,1983,False
878,Letter from Siberia,1957,False
879,Letter Never Sent,1959,True
880,Lettres d'Amour,1942,False
881,Lianna,1983,False
882,Lick the Star,1998,False
883,Life Is Sweet,1990,True
884,Lightning Sketches,1907,False
885,Lillehammer '94: 16 Days of Glory,1994,False
886,Lilly Turner,1933,False
887,Limbo,2016,False
888,Limelight,1952,True
889,Limite,1931,True
890,Lions Love (...And Lies),1969,False
891,Liquid Crystals,1978,False
892,Lira's Forest,2017,False
893,Little Women,1933,False
894,Liv and Ingmar,2012,False
895,Logorama,2009,False
896,Lola,1961,True
897,Lola,1981,True
898,Lola Montès,1955,True
899,Lolita,1962,False
900,Lon Chaney: Behind the Mask,1995,False
901,London After Midnight,1927,False
902,Lone Wolf and Cub #1: Sword of Vengeance,1972,False
903,Lone Wolf and Cub #2: Baby Cart at the River Styx,1972,False
904,Lone Wolf and Cub #3: Baby Cart to Hades,1972,False
905,Lone Wolf and Cub #4: Baby Cart in Peril,1972,False
906,Lone Wolf and Cub #5: Baby Cart in the Land of Demons,1973,False
907,Lone Wolf and Cub #6: White Heaven in Hell,1974,False
908,Long Live the Bride and Groom,1970,False
909,Look Back in Anger,1959,False
910,Looker,1981,False
911,Lord of the Flies,1963,True
912,Los Ojos Vendados,1978,False
913,Louie Bluie,1985,True
914,Love,1927,False
915,Love & Anarchy,1973,False
916,Love Affair,1994,False
917,"Love Affair, or the Case of the Missing Switchboard Operator",1967,True
918,Love Finds Andy Hardy,1938,False
919,Love in the Afternoon,1972,True
920,Love in the Time of Cholera,2007,False
921,Love Is Colder Than Death,1969,True
922,Love Me or Leave Me,1955,False
923,Love Old and New,1961,False
924,Love on the Run,1979,True
925,Love You More,2008,False
926,Lucky Partners,1940,False
927,Lumière d’été,1943,True
928,Lydia,1941,False
929,M,1931,True
930,Ma,2015,False
931,Madadayo,1993,True
932,Madame Bovary,1949,False
933,Madame Curie,1943,False
934,Madame Tutli-Putli,2007,False
935,Madeleine,1950,False
936,Madonna of the Seven Moons,1945,True
937,Mafioso,1962,True
938,Magnet of Doom,1963,False
939,Maidstone,1970,True
940,Major Barbara,1941,True
941,Major Dundee,1965,False
942,Mala Noche,1986,True
943,Mamma Roma,1962,True
944,Mammy Water,1953,False
945,Man Bites Dog,1992,True
946,Man Is Not a Bird,1965,True
947,Man of Aran,1934,False
948,Manderlay,2005,False
949,Mandi,1983,False
950,Manila in the Claws of Light,1975,True
951,Mannequin,1937,False
952,Manual of Arms,1966,False
953,Marathon,1993,False
954,Marius,1931,True
955,Marketa Lazarova,1967,False
956,Marriage - Italian Style,1964,False
957,Mary of Scotland,1936,False
958,Masculin Féminin,1966,False
959,Masques,1987,False
960,Master of the House,1925,True
961,Mata Hari,1932,False
962,Maxwell's Demon,1968,False
963,May Fools,1990,False
964,Maîtresse,1973,False
965,McCabe & Mrs. Miller,1971,True
966,Meantime,1984,True
967,Meek's Cutoff,2010,False
968,Meet Me in Las Vegas,1956,False
969,Memories of the Olympic Summer of 1952,1954,False
970,Memories of Underdevelopment,1968,True
971,"Memory for Max, Claire, Ida and Company",2005,True
972,Men Are Not Gods,1936,False
973,Merry Andrew,1958,False
974,Merry Christmas Mr. Lawrence,1983,True
975,Metropolitan,1990,True
976,Miao Miao,2008,False
977,Midnight Mary,1933,False
978,Mikey and Nicky,1976,True
979,Milky Way,1936,False
980,"Minutes, Episode 1: The Robbery",2017,False
981,"Minutes, Episode 2: Marty <3 Katie",2017,False
982,"Minutes, Episode 3: Parent Teacher",2017,False
983,"Minutes, Episode 4: Cory Comes to Christmas",2017,False
984,"Minutes, Episode 5: The Stop",2017,False
985,"Minutes, Episode 6: Native Stand Up",2017,False
986,Miracles of Thursday,1957,False
987,Mishima: A Life in Four Chapters,1985,True
988,Miss Julie,1951,True
989,Mister Johnson,1990,True
990,Mockery,1927,False
991,Modern Times,1936,True
992,"Moi, Un Noir",1958,False
993,Mon Oncle,1958,False
994,Mon Oncle Antoine,1971,False
995,Mon Oncle D'Amerique,1980,False
996,Mona Lisa,1986,True
997,Monkey Love Experiments,2014,False
998,Monsieur Hulot's Holiday,1953,False
999,Monsieur Verdoux,1947,True
1000,Monterey Pop,1968,True
1001,Moonlight Serenade,1997,False
1002,More,1969,False
1003,Morning for the Osone Family,1946,True
1004,Morning Glory,1933,False
1005,Moses and Aaron,1975,False
1006,Mother,1952,False
1007,Mother Kusters Goes to Heaven,1975,False
1008,Mother of George,2013,False
1009,Mothra vs. Godzilla,1964,False
1010,Mouchette,1967,True
1011,Movie Crazy,1932,False
1012,Mr. Arkadin (Comprehensive Version),2006,False
1013,Mr. Arkadin (Corinth Version),1962,False
1014,Mr. Blandings Builds His Dream House,1948,False
1015,Mr. Freedom,1969,True
1016,Mr. Lucky,1943,False
1017,Mr. Thank You,1936,True
1018,Mr. Wu,1927,False
1019,"Mrs. Brown, You've Got a Lovely Daughter",1968,False
1020,Mrs. Miniver,1942,False
1021,Mrs. Parkington,1944,False
1022,Mrs. Soffel,1984,False
1023,"Muhomatsu, the Rickshaw Man",1958,False
1024,Multiple Maniacs,1970,True
1025,Mur Murs,1980,True
1026,Murder Ahoy,1964,False
1027,Murder at the Gallop,1963,False
1028,Murder Most Foul,1964,False
1029,Murder She Said,1961,False
1030,"Muriel, or The Time of Return",1963,True
1031,Murmur of the Heart,1971,True
1032,Mutiny on the Bounty,1962,False
1033,My Beautiful Laundrette,1985,True
1034,My Brilliant Career,1979,False
1035,My Crasy Life,1992,True
1036,My Dinner with André,1981,True
1037,My Favorite Wife,1940,False
1038,My Home is Copacabana,1965,False
1039,My Josephine,2003,False
1040,My Life As A Dog,1985,False
1041,My Night At Maud's,1969,False
1042,My Winnipeg,2007,True
1043,Mysterious Object at Noon,2000,True
1044,Mystery,2013,False
1045,Mystery Train,1989,True
1046,Möbius,2017,False
1047,Münchhausen,1943,False
1048,Nacional III,1982,False
1049,Nadja in Paris,1964,False
1050,Nagano '98 Olympics: Bud Greenspan's Stories of Honor and...,1998,False
1051,Naked,1993,True
1052,Nanook of the North,1922,True
1053,Neapolitan Carousel,1954,False
1054,Needle,2013,False
1055,Neighbours,1952,False
1056,Nenette et Boni,1996,False
1057,Never So Few,1959,False
1058,Never Weaken,1921,False
1059,News from Home,1976,True
1060,Next Floor,2008,False
1061,Night and Fog,1955,True
1062,Night and Fog in Japan,1960,False
1063,Night Drum,1958,False
1064,Night Journey,1960,False
1065,Night Mayor,2009,False
1066,Night Nurse,1931,False
1067,Night of the Living Dead,1968,True
1068,Night on Earth,1991,True
1069,Nine Days of One Year,1962,False
1070,Ninotchka,1939,False
1071,Nishant,1976,False
1072,No Blood Relation,1932,True
1073,No End,1985,False
1074,No More Excuses,1968,True
1075,No Regrets for Our Youth,1946,True
1076,Nobody's Children,1952,False
1077,None but the Brave,1965,False
1078,North by Northwest,1959,False
1079,Not Reconciled,1965,False
1080,Nothing Sacred,1937,False
1081,Novio a la vista,1953,False
1082,"Number, Please?",1920,False
1083,"O Sport, You Are Peace!",1981,False
1084,Obsession,1949,False
1085,Ocean's 11,1960,False
1086,Odd Man Out,1947,True
1087,Odd Obsession,1959,False
1088,Of Mice and Men,1939,False
1089,"Oh, My Son!",1979,False
1090,Oil-Hell Murder,1992,False
1091,Old Joy,2006,False
1092,Old Man,2012,False
1093,Oliver Twist,1948,True
1094,Olympia Part One: Festival of the Nations,1938,False
1095,Olympia Part Two: Festival of Beauty,1938,False
1096,"Olympic Games, 1956",1956,False
1097,Olympic Glory,1999,False
1098,Olympic Spirit,1980,False
1099,On Demande Une Brute,1934,False
1100,On Golden Pond,1981,False
1101,Once Upon a Tractor,1965,False
1102,"One Light, One World",1992,False
1103,One Way Ticket to Love,1960,False
1104,One Wonderful Sunday,1947,True
1105,Onibaba,1964,True
1106,Only One Night,1939,False
1107,Opening Night,1976,True
1108,Operation Pacific,1951,False
1109,Ordet,1955,True
1110,Ornamental Hairpin,1941,True
1111,Orpheus,1950,True
1112,Osaka Elegy,1936,True
1113,Ossos,1997,True
1114,Othello,1952,True
1115,Our Dancing Daughters,1928,False
1116,Our Marriage,1961,False
1117,Our Modern Maidens,1929,False
1118,Our Time,1974,False
1119,Out of the Past,1947,False
1120,Outrageous!,1977,False
1121,Over the Moon,1939,False
1122,Overlord,1975,True
1123,Paisan,1946,True
1124,Pale Flower,1964,True
1125,Palermo Shooting,2008,False
1126,Panama Hattie,1942,False
1127,Pandora and the Flying Dutchman,1951,False
1128,Pandora's Box,1929,False
1129,Papillon,1973,False
1130,Parade,1974,True
1131,Paradise,2016,False
1132,Paraíso,2012,False
1133,Paris Belongs to Us,1961,True
1134,Paris Was a Woman,1995,False
1135,"Paris, Texas",1984,True
1136,Passage to Marseille,1944,False
1137,Passing Fancy,1933,True
1138,Passionless Moments,1983,False
1139,Pat and Mike,1952,False
1140,Pat Garrett and Billy the Kid,1973,False
1141,Pather Panchali,1955,True
1142,Pathfinder,1987,False
1143,Patrimonio Nacional,1980,False
1144,Paul Robeson: Tribute To An Artist,1979,False
1145,Pay Day,1922,False
1146,Pearls of the Deep,1966,True
1147,Pelle the Conqueror,1987,False
1148,Penelope,1966,False
1149,People of the Wind,1976,False
1150,People on Sunday,1930,True
1151,"People, Hopes, Medals",1960,False
1152,Peppermint Frappe,1967,False
1153,Period of Adjustment,1962,False
1154,Permanent Vacation,1980,False
1155,Persona,1966,True
1156,Personal Best,1982,False
1157,Pete's Haunted House,1926,False
1158,Petit à petit,1970,False
1159,Petulia,1968,False
1160,Phantom India - Episode Five: A Look at Castes,1969,False
1161,Phantom India - Episode Four: Dream and Reality,1969,False
1162,Phantom India - Episode One: The Impossible Camera,1969,False
1163,Phantom India - Episode Seven: Bombay,1969,False
1164,Phantom India - Episode Six: On the Fringes of Indian Society,1969,False
1165,Phantom India - Episode Three: The Indians and the Sacred,1969,False
1166,Phantom India - Episode Two: Things Seen in Madras,1969,False
1167,Phoenix,1947,False
1168,Phoenix,2014,True
1169,Pi,1998,False
1170,Pickle,2016,False
1171,Pickpocket,1959,True
1172,Picnic at Hanging Rock,1975,True
1173,Pigeons in the Square,1982,False
1174,Pigs and Battleships,1962,True
1175,Pina,2011,True
1176,Pitfall,1962,True
1177,Place de la Republique,1974,False
1178,Placido,1961,False
1179,Playtime,1967,False
1180,Pleasures of the Flesh,1965,True
1181,Plucking the Daisy,1956,False
1182,Poetic Justice,1972,False
1183,Poil de carotte,1932,True
1184,Port of Call,1948,True
1185,Portrait of Jason,1967,False
1186,Possessed,1947,False
1187,Possessed,1931,False
1188,Poto and Cabengo,1980,True
1189,Powwow Highway,1989,False
1190,Premature,2013,False
1191,Premiers desirs,1983,False
1192,Premonition Following an Evil Deed,1995,False
1193,"Presentation, or Charlotte and Her Steak",1960,False
1194,Pride and Prejudice,1940,False
1195,Primary,1960,False
1196,Princess from the Moon,1987,False
1197,Private Screenings: Liza Minnelli,2010,False
1198,Privates on Parade,1983,False
1199,Process Red,1966,False
1200,Profound Desire of the Gods,1968,False
1201,Purple Noon,1961,True
1202,Pussy,2016,False
1203,Pygmalion,1938,True
1204,Pépé le moko,1937,True
1205,Q Planes,1939,False
1206,Quadrille,1938,True
1207,Quadrophenia,1979,True
1208,Querelle,1982,False
1209,Rabindranath Tagore,1961,False
1210,Ramona,2015,False
1211,Ran,1985,True
1212,Random Harvest,1942,False
1213,Rashomon,1950,True
1214,Rebels of the Neon God,1992,False
1215,Record of a Tenement Gentleman,1947,False
1216,Red Beard,1965,True
1217,Red Desert,1964,True
1218,Redes,1936,True
1219,Rembrandt,1936,True
1220,Remorques,1941,True
1221,Rendez-vous,1985,False
1222,Repast,1951,False
1223,Requiem for a Dream,2000,False
1224,Return of the Prodigal Son,1966,True
1225,Return of the Scarlet Pimpernel,1937,False
1226,Return to Glennascaul,1951,False
1227,Revanche,2008,True
1228,Revenge,1989,True
1229,Rich and Famous,1981,False
1230,Richard III,1955,True
1231,Ride in the Whirlwind,1966,True
1232,Ride the High Country,1962,False
1233,River of Grass,1994,False
1234,Robinson Crusoe,1954,False
1235,Rocky VI,1986,False
1236,Rodan,1956,False
1237,Rodeo,1969,False
1238,Rome Open City,1945,True
1239,Romeo and Juliet,1936,False
1240,Ronin-Gai,1990,False
1241,Routine Pleasures,1986,True
1242,Rubber Band Pistol,1962,False
1243,Rude Boy,1980,False
1244,Running on Empty,1988,False
1245,Rupture,1962,False
1246,Rusty Knife,1958,True
1247,Rêves de poussière,2006,False
1248,Sabotage,1936,False
1249,Sada,1998,False
1250,Sadie McKee,1934,False
1251,Safe in Hell,1931,False
1252,Safety Last!,1923,True
1253,Saint Ralph,2005,False
1254,Salesman,1968,True
1255,Salt Lake City 2002: Bud Greenspan's Stories of Olympic Glory,2003,False
1256,Salvatore Giuliano,1962,True
1257,Salvo,2013,False
1258,Samurai I: Musashi Miyamoto,1954,True
1259,Samurai II: Duel at Ichijoji Temple,1955,True
1260,Samurai III: Duel at Ganryu Island,1956,True
1261,Samurai Rebellion,1967,True
1262,Samurai Saga,1959,False
1263,Samurai Spy,1965,True
1264,Sandakan No. 8,1974,False
1265,Sanders of the River,1935,True
1266,Sanjuro,1962,True
1267,Sans Soleil,1983,True
1268,Sanshiro Sugata,1943,True
1269,Sanshiro Sugata Pt 2,1945,False
1270,Sansho the Bailiff,1954,True
1271,Sapphire,1959,True
1272,Sapporo Winter Olympics,1972,False
1273,Satan's Brew,1976,False
1274,Saturday Night And Sunday Morning,1960,False
1275,Saute Ma Ville,1968,False
1276,Sawdust and Tinsel,1953,True
1277,Scandal,1950,True
1278,Scandal at Scourie,1953,False
1279,Scandal in Sorrento,1955,False
1280,Scanners,1981,True
1281,Scarecrow,1973,False
1282,Scattered Clouds,1967,False
1283,Scenes From A Marriage,1973,False
1284,Scenes from a Marriage: Episode 1,1973,False
1285,Scenes from a Marriage: Episode 2,1973,False
1286,Scenes from a Marriage: Episode 3,1973,False
1287,Scenes from a Marriage: Episode 4,1973,False
1288,Scenes from a Marriage: Episode 5,1973,False
1289,Scenes from a Marriage: Episode 6,1973,False
1290,Scents and Nonsense,1926,False
1291,Schizopolis,1996,True
1292,School for Postmen,1947,False
1293,Scrubbers,1982,False
1294,Sea Ballerinas,1956,False
1295,Sea Urchins,1954,False
1296,Sea Urchins,1928,False
1297,Seance on a Wet Afternoon,1964,False
1298,Sebastiane,1976,False
1299,Secret Honor,1984,True
1300,Secrets & Lies,1996,False
1301,Secrets of Women,1952,False
1302,Seduced and Abandoned,1964,True
1303,Seide,2015,False
1304,Sembene!,2015,False
1305,Sensation of the Century,1966,False
1306,Senso,1954,True
1307,Seoul 1988,1989,False
1308,Set Me Free,1999,False
1309,Seven Beauties,1975,False
1310,Seven Samurai,1954,True
1311,Sex and the Single Girl,1964,False
1312,Shadows,1959,True
1313,Shadows in Paradise,1986,True
1314,Shake!: Otis at Monterey,1986,False
1315,Shame,1968,True
1316,Shock Corridor,1963,True
1317,Shogun Assassin,1980,False
1318,Shoot the Piano Player,1960,True
1319,Shoulder Arms,1918,False
1320,"Shozo, a Cat and Two Women",1956,False
1321,Shrimp Stories,1964,False
1322,Si Nos Dejan,2012,False
1323,Silence,1972,False
1324,Similarities Between Length and Speed,1937,False
1325,Simon of the Desert,1965,True
1326,Sincere Heart,1953,False
1327,Sing a Song of Sex,1967,True
1328,"Sing, Young People!",1963,False
1329,Singin' in the Rain,1951,False
1330,Sisters,1973,True
1331,Sisters of the Gion,1936,True
1332,Six Men Getting Sick,1966,False
1333,Skulls and Sculls,1930,False
1334,Skunk,2014,False
1335,Slick Sleuths,1926,False
1336,Slightly Dangerous,1943,False
1337,Small Town Girl,1936,False
1338,Smiles of a Summer Night,1955,True
1339,Smithereens,1982,True
1340,Snow Trail,1947,False
1341,Snows of Grenoble,1968,False
1342,So Big,1932,False
1343,Socrates,1971,False
1344,Soigne ton Gauche,1936,False
1345,Solaris,1972,True
1346,Somewhere Beneath the Wide Sky,1954,False
1347,Son of Godzilla,1967,False
1348,Sonatine,1993,False
1349,Song of Love,1947,False
1350,Sophia Loren: Live from the TCM Classic Film Festival,2016,False
1351,Sound of the Mountain,1954,False
1352,Speedy,1928,True
1353,Spend It All,1972,False
1354,Spirits of the Dead,1968,False
1355,Spitfire,1942,False
1356,Split Screen: S1-E1,1997,False
1357,Split Screen: S1-E2,1997,False
1358,Split Screen: S1-E3,1997,False
1359,Split Screen: S1-E4,1997,False
1360,Split Screen: S1-E5,1997,False
1361,Split Screen: S1-E6,2000,False
1362,Split Screen: S10-E1,1999,False
1363,Split Screen: S10-E2,1999,False
1364,Split Screen: S10-E3,2000,False
1365,Split Screen: S10-E4,2000,False
1366,Split Screen: S10-E5,2000,False
1367,Split Screen: S10-E6,2000,False
1368,Split Screen: S10-E7,2000,False
1369,Split Screen: S2-E1,1997,False
1370,Split Screen: S2-E2,1997,False
1371,Split Screen: S2-E3,1997,False
1372,Split Screen: S2-E4,1997,False
1373,Split Screen: S2-E5,1997,False
1374,Split Screen: S2-E6,2000,False
1375,Split Screen: S3-E1,1998,False
1376,Split Screen: S3-E2,1998,False
1377,Split Screen: S3-E3,1998,False
1378,Split Screen: S3-E4,1998,False
1379,Split Screen: S3-E5,1998,False
1380,Split Screen: S3-E6,2000,False
1381,Split Screen: S4-E1,1998,False
1382,Split Screen: S4-E2,1998,False
1383,Split Screen: S4-E3,1998,False
1384,Split Screen: S4-E4,1998,False
1385,Split Screen: S4-E5,1998,False
1386,Split Screen: S4-E6,2000,False
1387,Split Screen: S5-E1,1998,False
1388,Split Screen: S5-E2,1998,False
1389,Split Screen: S5-E3,1998,False
1390,Split Screen: S5-E4,1998,False
1391,Split Screen: S5-E5,1998,False
1392,Split Screen: S5-E6,2000,False
1393,Split Screen: S6-E1,1998,False
1394,Split Screen: S6-E2,1998,False
1395,Split Screen: S6-E3,1998,False
1396,Split Screen: S6-E4,1998,False
1397,Split Screen: S6-E5,1998,False
1398,Split Screen: S6-E6,2000,False
1399,Split Screen: S7-E1,1999,False
1400,Split Screen: S7-E2,1999,False
1401,Split Screen: S7-E3,1999,False
1402,Split Screen: S7-E4,1999,False
1403,Split Screen: S7-E5,1999,False
1404,Split Screen: S7-E6,2000,False
1405,Split Screen: S8-E1,1999,False
1406,Split Screen: S8-E2,1999,False
1407,Split Screen: S8-E3,1999,False
1408,Split Screen: S8-E4,1999,False
1409,Split Screen: S8-E5,1999,False
1410,Split Screen: S8-E6,2000,False
1411,Split Screen: S9-E1,1999,False
1412,Split Screen: S9-E2,1999,False
1413,Split Screen: S9-E3,1999,False
1414,Split Screen: S9-E4,1999,False
1415,Split Screen: S9-E5,1999,False
1416,Split Screen: S9-E6,1999,False
1417,Spring Dreams,1960,False
1418,Springtime,1923,False
1419,Sprout Wings and Fly,1983,False
1420,Stage Door,1937,False
1421,Stagecoach,1939,True
1422,Stakeout,1958,False
1423,Stalker,1979,True
1424,Stars in My Crown,1950,False
1425,State of Siege,1972,True
1426,Step Lively,1944,False
1427,Stepping Out,1991,False
1428,Still Walking,2008,True
1429,Stingaree,1934,False
1430,Stolen Desire,1958,False
1431,Stolen Kisses,1968,True
1432,Story of a Prostitute,1965,True
1433,Story of Women,1988,False
1434,"Straits of Magellan: INGENIVM NOBIS IPSA PVELLA FECIT, Part I",1975,False
1435,"Straits of Magellan: Magellan at the Gates of Death, Part I...",1976,False
1436,Straits of Magellan: Pan 0,1964,False
1437,Straits of Magellan: Pan 1,1974,False
1438,Straits of Magellan: Pan 2,1970,False
1439,Straits of Magellan: Pan 3,1972,False
1440,Straits of Magellan: Pan 4,1968,False
1441,Straits of Magellan: Pan 697,1974,False
1442,Straits of Magellan: Pan 698,1973,False
1443,Straits of Magellan: Pan 699,1974,False
1444,Straits of Magellan: Pan 700,1969,False
1445,Straits of Magellan: Winter Solstice,1974,False
1446,Strange Brew,1983,False
1447,Strange Glory,1938,False
1448,Stranger Than Paradise,1984,True
1449,Stray Dog,1949,True
1450,Street of Love and Hope,1959,False
1451,Street of Shame,1956,True
1452,Street Smart,1987,False
1453,Street Without End,1934,True
1454,Strike,1925,False
1455,Stromboli,1950,True
1456,Stroszek,1977,False
1457,Studio One in Hollywood: Dark Possession,1954,False
1458,Studio One in Hollywood: Pontius Pilate,1952,False
1459,Studio One in Hollywood: The Arena,1956,False
1460,Studio One in Hollywood: The Strike,1954,False
1461,Studio One in Hollywood: Twelve Angry Men,1954,False
1462,Suddenly,1954,False
1463,Summer Hours,2008,True
1464,Summer Interlude,1951,True
1465,Summer of '42,1971,False
1466,Summer Stock,1950,False
1467,Summer with Monika,1953,True
1468,Summertime,1955,True
1469,Sumurun,1920,False
1470,Sunday in Peking,1956,False
1471,Sunflower,1970,False
1472,Sunnyside,1919,False
1473,Sunrise at Campobello,1960,False
1474,Superbia,2016,False
1475,Supermarket Woman,1996,False
1476,Sure-Locked Homes,1928,False
1477,Surface Tension,1968,False
1478,Susan Slept Here,1954,False
1479,Suspicion,1941,False
1480,Suzanne's Career,1963,False
1481,Swallowed,2016,False
1482,Swann in Love,1984,False
1483,Swedenhielms,1935,False
1484,Sweet Bird of Youth,1962,False
1485,Sweet Movie,1974,True
1486,Sweet Sweetback's Baadasssss Song,1971,False
1487,Sweetie,1989,True
1488,Swept Away,1974,False
1489,Swing Fever,1944,False
1490,Sword of the Beast,1965,True
1491,Sworn to the Drum: A Tribute to Francisco Aguabella,1995,False
1492,Sydney 2000: Stories of Olympic Glory,2001,False
1493,Sylvia and the Phantom,1946,False
1494,Sylvia Scarlett,1935,False
1495,Symbiopsychotaxiplasm: Take One,1968,False
1496,Syndromes and a Century,2006,False
1497,Taipei Story,1985,True
1498,Take a Chance,1918,False
1499,Take Aim at the Police Van,1960,True
1500,Tales of a Golden Geisha,1990,False
1501,Tampopo,1985,True
1502,Tanner '88 - Episode 10: The Boiler Room,1988,False
1503,Tanner '88 - Episode 11: The Reality Check,1988,False
1504,Tanner '88 - Episode 1: The Dark Horse,1988,False
1505,Tanner '88 - Episode 2: For Real,1988,False
1506,Tanner '88 - Episode 3: Night of the Twinkies,1988,False
1507,Tanner '88 - Episode 4: Moonwalker and Bookbag,1988,False
1508,Tanner '88 - Episode 5: Bagels with Bruce,1988,False
1509,Tanner '88 - Episode 6: Child's Play,1988,False
1510,Tanner '88 - Episode 7: The Great Escape,1988,False
1511,Tanner '88 - Episode 8: The Girlfriend Factor,1988,False
1512,"Tanner '88 - Episode 9: Something Borrowed, Something New",1988,False
1513,Taris,1931,False
1514,Taste of Cherry,1997,True
1515,Teeth,2015,False
1516,Tell It to the Marines,1926,False
